director,show_id,directing_style,active_years
Ranjit Tiwari,80204433,Drama,2010-Present
Tom Fassaert,80089199,Drama,2010-Present
Adam Dubin,80043049,Drama,2010-Present
Cary Joji Fukunaga,80044545,Drama,2010-Present
Aaron Hann,80070182,Drama,2010-Present
Ahmet Katıksız,80176234,Drama,2010-Present
Alexandros Avranas,80992769,Drama,2010-Present
Anindya Chatterjee,81191228,Drama,2010-Present
Anik Datta,81025935,Drama,2010-Present
Rajkumar Hirani,81020508,Drama,2010-Present
Ishaan Trivedi,80201824,Drama,2010-Present
Biswajeet Bora,80203782,Drama,2010-Present
Sohail Tatari,80201829,Drama,2010-Present
David Stubbs,80126016,Drama,2010-Present
Madhur Bhandarkar,80202089,Drama,2010-Present
Parveen Kumar,80203789,Drama,2010-Present
Matías Gueilburt,80193423,Drama,2010-Present
Ananth Narayan Mahadevan,80201825,Drama,2010-Present
Ah Loong,80202376,Drama,2010-Present
Girish Malik,80028360,Drama,2010-Present
Debaloy Dey,80203783,Drama,2010-Present
Martin Rosete,80142617,Drama,2010-Present
Jasmine D'Souza,80201823,Drama,2010-Present
Ben C. Lucas,80190841,Drama,2010-Present
Rohit Jugraj,80115858,Drama,2010-Present
Shakti Samanta,80158547,Drama,2010-Present
Raj B. Shetty,80206827,Drama,2010-Present
Navneet Behal,80202090,Drama,2010-Present
Sukhbir Singh,80203790,Drama,2010-Present
Naresh Saigal,80158391,Drama,2010-Present
Ram Gopal Varma,80201822,Drama,2010-Present
Dhruv Dhawan,80211540,Drama,2010-Present
Thomas Sorriaux,80123743,Drama,2010-Present
Toshiyuki Kubooka,70258995,Drama,2010-Present
Noriyuki Abe,70208801,Drama,2010-Present
Noriyuki Abe,70260383,Drama,2010-Present
Clovis Cornillac,80123744,Drama,2010-Present
Hajime Kamegaki,70105699,Drama,2010-Present
Hajime Kamegaki,70124999,Drama,2010-Present
Jean-François Blais,80990869,Drama,2010-Present
Derek Hui,80187205,Drama,2010-Present
Kevin MacDonald,80097472,Drama,2010-Present
Stefano Sollima,80075009,Drama,2010-Present
Dave Higby,70280748,Drama,2010-Present
Leïla Sy,81034012,Drama,2010-Present
