director,show_id,directing_style,active_years
Greg Whiteley,70296733,Drama,2010-Present
Seren Yüce,81026192,Drama,2010-Present
Jorge Blanco,70109891,Drama,2010-Present
Law Wing-cheong,80003479,Drama,2010-Present
Dash Shaw,80163053,Drama,2010-Present
Scott Moran,80208684,Drama,2010-Present
Mario Rouleau,80124680,Drama,2010-Present
Santiago Diaz,80175405,Drama,2010-Present
Scott Zabielski,80214777,Drama,2010-Present
Raúl Campos,80079427,Drama,2010-Present
Ahmed Khaled Moussa,81026986,Drama,2010-Present
Néstor Sánchez Sotelo,80149575,Drama,2010-Present
Aniruddha Roy Chowdhury,80144448,Drama,2010-Present
Chester Tam,80100936,Drama,2010-Present
Mohit Suri,80192420,Drama,2010-Present
Terry Gilliam,771476,Drama,2010-Present
Jon Schnitzer,80213401,Drama,2010-Present
Craig Elrod,80198056,Drama,2010-Present
Benjamin Cohen,80208083,Drama,2010-Present
Mike Rossiter,80045818,Drama,2010-Present
Michael McKay,80195429,Drama,2010-Present
Charles Stone III,80158485,Drama,2010-Present
Matt Angel,80198661,Drama,2010-Present
Chris McCoy,80119375,Drama,2010-Present
Sofia Coppola,70271454,Drama,2010-Present
Chris Smith,81035279,Drama,2010-Present
Jonathan Helpert,80134721,Drama,2010-Present
André D'Elia,81038976,Drama,2010-Present
Matías Gueilburt,80988257,Drama,2010-Present
Ivan Ayr,81023713,Drama,2010-Present
Chris Baugh,80174219,Drama,2010-Present
Jenny Carchman,80133139,Drama,2010-Present
Tyler Perry,81127902,Drama,2010-Present
Raúl Campos,80191988,Drama,2010-Present
Kobun Shizuno,80180373,Drama,2010-Present
Neal Brennan,80117452,Drama,2010-Present
G.J. Echternkamp,80152003,Drama,2010-Present
Jehane Noujaim,70268449,Drama,2010-Present
Caryn Waechter,81147285,Drama,2010-Present
Nicholas Stoller,70120142,Drama,2010-Present
Tim Hill,70142824,Drama,2010-Present
Numa Perrier,81235729,Drama,2010-Present
Brian Helgeland,80057599,Drama,2010-Present
Yoshiyuki Momose,81093113,Drama,2010-Present
Danny Boyle,80049358,Drama,2010-Present
Colin Strause,70141971,Drama,2010-Present
Ethan Coen,70114021,Drama,2010-Present
Jean-Marc Vallée,70275751,Drama,2010-Present
Marc Abraham,70098902,Drama,2010-Present
Steve Barker,80118718,Drama,2010-Present
Shawn Levy,60022265,Drama,2010-Present
Rima Das,81026003,Drama,2010-Present
Paco Plaza,80997602,Drama,2010-Present
Andrew Goth,80169611,Drama,2010-Present
Jeffrey G. Hunt,81144867,Drama,2010-Present
William Kaufman,81127333,Drama,2010-Present
Marek Kanievska,60000878,Drama,2010-Present
Skye Borgman,81000864,Drama,2010-Present
Hashim Nadeem Khan,81047445,Drama,2010-Present
Mohsin Ali,81045085,Drama,2010-Present
Svetlana Cvetko,81050190,Drama,2010-Present
Sarjun,81045065,Drama,2010-Present
Alejandro Lozano,80028965,Drama,2010-Present
Michael Civille,81050191,Drama,2010-Present
Feroz,80202078,Drama,2010-Present
Syed Atif Ali,81047446,Drama,2010-Present
Lee Seung-won,81000511,Drama,2010-Present
Rik Reinholdtsen,80218104,Drama,2010-Present
Stephanie Soechtig,80997719,Drama,2010-Present
Rocky Soraya,81044856,Drama,2010-Present
Rocky Soraya,81044857,Drama,2010-Present
John Asher,80154682,Drama,2010-Present
Latif Faiziyev,80158543,Drama,2010-Present
M.J. Isakson,80216543,Drama,2010-Present
Matt Toronto,80223136,Drama,2010-Present
Michael Roberts,80189955,Drama,2010-Present
Noah Moskin,80195807,Drama,2010-Present
John H. Lee,80116307,Drama,2010-Present
Ajay Bhuyan,80228321,Drama,2010-Present
Rajiv Mehra,80156940,Drama,2010-Present
Rhiannon Bannenberg,80222177,Drama,2010-Present
Bin Bunluerit,80224233,Drama,2010-Present
Jennifer Brea,80168300,Drama,2010-Present
Pradeep Verma,80228282,Drama,2010-Present
Hannes Stöhr,70114977,Drama,2010-Present
Ron Davis,80105342,Drama,2010-Present
Marty Stalker,80119140,Drama,2010-Present
Daniel Noah,70285683,Drama,2010-Present
Andreas Prochaska,80141338,Drama,2010-Present
Maximilian Erlenwein,80015154,Drama,2010-Present
John Carchietta,80106440,Drama,2010-Present
Isaac Ezban,80128690,Drama,2010-Present
Burhan Qurbani,80141337,Drama,2010-Present
Wilson Yip,70118799,Drama,2010-Present
Wilson Yip,70137753,Drama,2010-Present
David Benioff,81060049,Drama,2010-Present
Paul Thomas Anderson,70244163,Drama,2010-Present
Patryk Vega,81221851,Drama,2010-Present
Charles Officer,81009823,Drama,2010-Present
Peter Sattler,70298946,Drama,2010-Present
Marcelo González,80144144,Drama,2010-Present
Zach Clark,80106504,Drama,2010-Present
N.D. Wilson,80141335,Drama,2010-Present
Sean Penn,80115030,Drama,2010-Present
Daniel Stamm,70291114,Drama,2010-Present
Gauravv K Chawla,81044299,Drama,2010-Present
David O. Russell,70113534,Drama,2010-Present
Kleber Mendonça Filho,80113667,Drama,2010-Present
Hubert Woroniecki,80137087,Drama,2010-Present
Alistair Legrand,80096955,Drama,2010-Present
Steve Boettcher,81173792,Drama,2010-Present
Mikhil Musale,81113919,Drama,2010-Present
Julian Jarrold,70065107,Drama,2010-Present
Quinn Lasher,80990532,Drama,2010-Present
David Mrnka,80108149,Drama,2010-Present
John Mikulak,70120182,Drama,2010-Present
Maya Forbes,80173395,Drama,2010-Present
Choi Jin-seong,80226236,Drama,2010-Present
Jay Karas,80187307,Drama,2010-Present
Ira Sachs,80098203,Drama,2010-Present
Mir-Jean Bou Chaaya,80081960,Drama,2010-Present
Peter Hewitt,81221873,Drama,2010-Present
Dan Villegas,81036539,Drama,2010-Present
Bent-Jorgen Perlmutt,80191048,Drama,2010-Present
Hugo Stuven,80245041,Drama,2010-Present
Greg Pritikin,80202273,Drama,2010-Present
Amman Abbasi,80170870,Drama,2010-Present
Soumendra Padhi,81183491,Drama,2010-Present
Tom Green,70253597,Drama,2010-Present
Mike Gunther,70199239,Drama,2010-Present
Fred Olen Ray,80099306,Drama,2010-Present
Sam Raimi,484369,Drama,2010-Present
Johannes Roberts,80109128,Drama,2010-Present
Heitor Dhalia,80187188,Drama,2010-Present
Jeannie Gaffigan,80117811,Drama,2010-Present
Robert Luketic,70084788,Drama,2010-Present
Mark Rosman,60036237,Drama,2010-Present
Richard Rich,80014637,Drama,2010-Present
Sam Mendes,60000407,Drama,2010-Present
Sarah Smith,70202138,Drama,2010-Present
Edwin,81035731,Drama,2010-Present
James L. Brooks,1181488,Drama,2010-Present
Jeff Tremaine,70308046,Drama,2010-Present
Vadim Jean,80108158,Drama,2010-Present
Steven Spielberg,60024942,Drama,2010-Present
Nicholas Hytner,60000891,Drama,2010-Present
Tim Burton,70021648,Drama,2010-Present
Kevin Smith,1151188,Drama,2010-Present
Ken Hughes,374651,Drama,2010-Present
Atom Egoyan,70124183,Drama,2010-Present
Fernando Meirelles,60026106,Drama,2010-Present
Frank Coraci,70041162,Drama,2010-Present
Matt Reeves,70082268,Drama,2010-Present
Thomas Carter,70019004,Drama,2010-Present
Jay Roach,70128701,Drama,2010-Present
Mike Newell,1151721,Drama,2010-Present
Rob Cohen,60029363,Drama,2010-Present
Colin Teague,80032636,Drama,2010-Present
Doug Lefler,60002003,Drama,2010-Present
Paul W.S. Anderson,1179574,Drama,2010-Present
Chris Stokes,81103093,Drama,2010-Present
James Wong,60000393,Drama,2010-Present
David R. Ellis,60026114,Drama,2010-Present
James Wong,70042687,Drama,2010-Present
Simon Wincer,523650,Drama,2010-Present
Marcus Nispel,70104894,Drama,2010-Present
Mark A.Z. Dippé,70081015,Drama,2010-Present
Mark A.Z. Dippé,70100448,Drama,2010-Present
Mark A.Z. Dippé,70118155,Drama,2010-Present
Mark Steven Johnson,70044594,Drama,2010-Present
Anurag Kashyap,81088083,Drama,2010-Present
Roland Emmerich,11819467,Drama,2010-Present
Adam Shankman,70065096,Drama,2010-Present
Danny Leiner,70000091,Drama,2010-Present
Andy Tennant,70019506,Drama,2010-Present
Keoni Waxman,70150473,Drama,2010-Present
Christopher Nolan,70131314,Drama,2010-Present
Eugenio Derbez,70284281,Drama,2010-Present
Michael Simon,81084305,Drama,2010-Present
John A. Davis,60021788,Drama,2010-Present
Nora Ephron,70112732,Drama,2010-Present
James Mangold,60021790,Drama,2010-Present
Quentin Tarantino,60031236,Drama,2010-Present
Quentin Tarantino,60032563,Drama,2010-Present
Peter Farrelly,673843,Drama,2010-Present
Gary Fleder,1180086,Drama,2010-Present
Luis Valdez,281550,Drama,2010-Present
Zack Snyder,70125232,Drama,2010-Present
Lucas Margutti,81211681,Drama,2010-Present
Paul Thomas Anderson,60000440,Drama,2010-Present
Shyam Benegal,81217437,Drama,2010-Present
Patricia Rozema,60000480,Drama,2010-Present
Robert Luketic,70021634,Drama,2010-Present
Duncan Jones,70112500,Drama,2010-Present
Howard Zieff,786137,Drama,2010-Present
Dennie Gordon,60034568,Drama,2010-Present
Justin Webster,80197991,Drama,2010-Present
Guillermo del Toro,70050507,Drama,2010-Present
Oren Peli,70125581,Drama,2010-Present
Phillip Noyce,846071,Drama,2010-Present
Tetsuo Yajima,81085364,Drama,2010-Present
Edwin,81140307,Drama,2010-Present
Paul W.S. Anderson,70128695,Drama,2010-Present
John Lyde,80095807,Drama,2010-Present
Steve Rash,70121008,Drama,2010-Present
Keenen Ivory Wayans,60000870,Drama,2010-Present
John Stockwell,70260512,Drama,2010-Present
Gregg Bishop,80135276,Drama,2010-Present
Phillip Noyce,60035996,Drama,2010-Present
Chris Koch,60000409,Drama,2010-Present
Baz Luhrmann,60022396,Drama,2010-Present
Rob Minkoff,28631029,Drama,2010-Present
Rob Minkoff,60022058,Drama,2010-Present
Tim Burton,70077544,Drama,2010-Present
Michael Pressman,60023856,Drama,2010-Present
Steve Barron,1029730,Drama,2010-Present
Jonathan Mostow,60029154,Drama,2010-Present
McG,70103524,Drama,2010-Present
Andrew Douglas,70021631,Drama,2010-Present
Andrew Fleming,404067,Drama,2010-Present
Neil Jordan,70020296,Drama,2010-Present
Jay Chandrasekhar,70021652,Drama,2010-Present
Robert Berlinger,70061763,Drama,2010-Present
David R. Ellis,70113006,Drama,2010-Present
Ricky Gervais,70105370,Drama,2010-Present
Peter Jackson,60004484,Drama,2010-Present
Peter Jackson,60004483,Drama,2010-Present
Martin Campbell,5670479,Drama,2010-Present
David Zucker,60001808,Drama,2010-Present
David Zucker,60001807,Drama,2010-Present
Barry Levinson,793907,Drama,2010-Present
Spike Lee,60001854,Drama,2010-Present
Mimi Leder,20159719,Drama,2010-Present
Gore Verbinski,60024914,Drama,2010-Present
Anthony Minghella,60000209,Drama,2010-Present
Ron Underwood,60033108,Drama,2010-Present
S.S. Wilson,1064058,Drama,2010-Present
Brent Maddock,60021377,Drama,2010-Present
S.S. Wilson,60033107,Drama,2010-Present
Don Michael Paul,80066084,Drama,2010-Present
Henry Hathaway,1067876,Drama,2010-Present
Jason Reitman,70117902,Drama,2010-Present
Robert Zemeckis,60001396,Drama,2010-Present
Barry Sonnenfeld,22007250,Drama,2010-Present
Mel Stuart,60020949,Drama,2010-Present
Lawrence Kasdan,60011597,Drama,2010-Present
Peyton Reed,70100379,Drama,2010-Present
Nicole Conn,70209245,Drama,2010-Present
Julie Taymor,70045863,Drama,2010-Present
Alejandro G. Iñárritu,70045866,Drama,2010-Present
Yanyong Kuruaungkoul,80999981,Drama,2010-Present
Ridley Scott,60022056,Drama,2010-Present
Neill Blomkamp,80016588,Drama,2010-Present
Joe Roth,70011207,Drama,2010-Present
Steve Carr,60027689,Drama,2010-Present
Mark Landre Gould,80239710,Drama,2010-Present
David Mackenzie,80108616,Drama,2010-Present
Steven Spielberg,70084799,Drama,2010-Present
Steven Spielberg,60010487,Drama,2010-Present
Steven Spielberg,60011649,Drama,2010-Present
Steven Spielberg,60010488,Drama,2010-Present
Kevin Smith,60004476,Drama,2010-Present
Clint Eastwood,70299748,Drama,2010-Present
Lori Kaye,80214621,Drama,2010-Present
William H. Macy,80245709,Drama,2010-Present
Massy Tadjedin,70117299,Drama,2010-Present
Guy Ritchie,16944044,Drama,2010-Present
Lenin Bharathi,81045060,Drama,2010-Present
Mike Newell,60031284,Drama,2010-Present
Jay Chapman,70256512,Drama,2010-Present
James Foley,70058019,Drama,2010-Present
Kunihiko Yuyama,81046846,Drama,2010-Present
Quentin Tarantino,880640,Drama,2010-Present
Ranjit Jeyakodi,81052279,Drama,2010-Present
Ram,81052277,Drama,2010-Present
Antoine Fuqua,60026139,Drama,2010-Present
Mark Herman,70101375,Drama,2010-Present
Alex Proyas,408911,Drama,2010-Present
Ben A. Williams,80195885,Drama,2010-Present
Stephen Daldry,70307648,Drama,2010-Present
John Fortenberry,70174741,Drama,2010-Present
Rob Cohen,60023619,Drama,2010-Present
Lee Tamahori,70023960,Drama,2010-Present
Chandrakant Kulkarni,80201623,Drama,2010-Present
Uttung Shelar,80202086,Drama,2010-Present
Greg Kohs,80190844,Drama,2010-Present
Sumitra Bhave,80201626,Drama,2010-Present
Lisa Arnold,80195653,Drama,2010-Present
Bedabrata Pain,80084756,Drama,2010-Present
Sumitra Bhave,70117122,Drama,2010-Present
Reiner Holzemer,80197427,Drama,2010-Present
Kim Nguyen,80192627,Drama,2010-Present
Jose Manuel Colón,80202713,Drama,2010-Present
Nagraj Manjule,80084454,Drama,2010-Present
Bob Rose,80196217,Drama,2010-Present
Abba T. Makama,80208908,Drama,2010-Present
Joe Dietsch,80167491,Drama,2010-Present
Chris Sivertson,80206907,Drama,2010-Present
Amar Gupte,80202905,Drama,2010-Present
Sooraj R. Barjatya,60035870,Drama,2010-Present
Sooraj R. Barjatya,80074065,Drama,2010-Present
Sachin,80201809,Drama,2010-Present
Amardeep Singh Gill,80228146,Drama,2010-Present
Jon M. Chu,70169918,Drama,2010-Present
Chandrakant Kulkarni,80201810,Drama,2010-Present
Pratim D. Gupta,80221637,Drama,2010-Present
Ben Patterson,80197301,Drama,2010-Present
Sooraj R. Barjatya,19207412,Drama,2010-Present
David Batty,80217436,Drama,2010-Present
Sachin,80201618,Drama,2010-Present
Santosh Manjrekar,70128225,Drama,2010-Present
Steve Ball,80020131,Drama,2010-Present
Dustin McKenzie,70286028,Drama,2010-Present
Victor Dal Chele,80020036,Drama,2010-Present
William Lau,70301472,Drama,2010-Present
Dustin McKenzie,70286029,Drama,2010-Present
Kiki Goshay,80196138,Drama,2010-Present
Peter Pardini,80138615,Drama,2010-Present
Lars von Trier,70297799,Drama,2010-Present
Rebecca Zlotowski,80131236,Drama,2010-Present
René Pérez Joglar,80184547,Drama,2010-Present
Rajeev Patil,70116578,Drama,2010-Present
Sudesh Manjrekar,80202908,Drama,2010-Present
Kevin Phillips,80184135,Drama,2010-Present
Jee-woon Kim,80139199,Drama,2010-Present
Niyi Akinmolayan,80208830,Drama,2010-Present
Satish Manwar,80201813,Drama,2010-Present
Alison MacLean,80155790,Drama,2010-Present
David Koepp,1065372,Drama,2010-Present
Dan Bush,80159566,Drama,2010-Present
Sameer Vidwans,80201815,Drama,2010-Present
Sam Hobkinson,80217857,Drama,2010-Present
Kedar Shinde,70114043,Drama,2010-Present
Karan Bali,80158376,Drama,2010-Present
Rohit Mittal,80154688,Drama,2010-Present
Steve Hickner,70060010,Drama,2010-Present
Jalil Lespert,80011026,Drama,2010-Present
Matt Kugelman,80117742,Drama,2010-Present
Hari Viswanath,80147318,Drama,2010-Present
Pratim D. Gupta,80152741,Drama,2010-Present
Pieter-Jan De Pue,80097375,Drama,2010-Present
Miriam Chandy Menacherry,80145085,Drama,2010-Present
Edward Ellis,80144141,Drama,2010-Present
Abhishek Chaubey,80118002,Drama,2010-Present
Jerry Rothwell,80036832,Drama,2010-Present
Charlie Haskell,80092837,Drama,2010-Present
James Barr,70242899,Drama,2010-Present
Sorin Dan Mihalcescu,70053412,Drama,2010-Present
Harold Cronk,80131616,Drama,2010-Present
Roberta Grossman,80174367,Drama,2010-Present
David Bruckner,80217312,Drama,2010-Present
Tamta Gabrichidze,80209006,Drama,2010-Present
Ari Sandel,80117531,Drama,2010-Present
Caradog W. James,80153131,Drama,2010-Present
Steven Soderbergh,80991400,Drama,2010-Present
Brad Bird,81059388,Drama,2010-Present
Tom Stern,80231156,Drama,2010-Present
Kelly Duane de la Vega,80191045,Drama,2010-Present
Julio Medem,81029383,Drama,2010-Present
Toa Fraser,80178280,Drama,2010-Present
Deane Taylor,80119555,Drama,2010-Present
Luis Javier M. Henaine,80158270,Drama,2010-Present
Mathias Malzieu,70302836,Drama,2010-Present
Jenna Laurenzo,81034763,Drama,2010-Present
Scott Aukerman,80151370,Drama,2010-Present
Hark Tsui,81010962,Drama,2010-Present
Bob Nelson,80094258,Drama,2010-Present
Lance Bangs,80159028,Drama,2010-Present
Trevor Ryan,80201570,Drama,2010-Present
Alex Zamm,80225034,Drama,2010-Present
Charles Stone III,80044834,Drama,2010-Present
Michael Showalter,80216779,Drama,2010-Present
Stephen Cone,80201497,Drama,2010-Present
Julius Onah,80134431,Drama,2010-Present
Jordan Ross,80198745,Drama,2010-Present
Krishna Agazzi,80168052,Drama,2010-Present
Alison E. Rose,80167667,Drama,2010-Present
Roland Joffé,80038446,Drama,2010-Present
Lance Bangs,80059410,Drama,2010-Present
Philipp Stölzl,70252885,Drama,2010-Present
Craig Moss,80157760,Drama,2010-Present
Wade Allain-Marcus,80065220,Drama,2010-Present
Raúl Campos,80124726,Drama,2010-Present
Malik Vitthal,70301279,Drama,2010-Present
Vonda Harrell,81002591,Drama,2010-Present
Fabio Guaglione,80123777,Drama,2010-Present
Carlos Vermut,80109296,Drama,2010-Present
Shaina Allen,81017530,Drama,2010-Present
Joey Kern,80190130,Drama,2010-Present
Hong-seon Kim,80226357,Drama,2010-Present
Lilibet Foster,80061160,Drama,2010-Present
Seth Barrish,80133550,Drama,2010-Present
J.C. Falcón,80103313,Drama,2010-Present
Cathy Garcia-Molina,80092925,Drama,2010-Present
Wenn V. Deramas,80094723,Drama,2010-Present
Mae Czarina Cruz,81010869,Drama,2010-Present
Mae Czarina Cruz,80188883,Drama,2010-Present
Sridhar Rangayan,81045072,Drama,2010-Present
Cathy Garcia-Molina,81010873,Drama,2010-Present
Wenn V. Deramas,81010864,Drama,2010-Present
Cathy Garcia-Molina,81010866,Drama,2010-Present
Cathy Garcia-Molina,80175332,Drama,2010-Present
Saw Teong Hin,81047510,Drama,2010-Present
Cathy Garcia-Molina,80011541,Drama,2010-Present
Dan Villegas,80065327,Drama,2010-Present
Olivia M. Lamasan,81010872,Drama,2010-Present
Wenn V. Deramas,70123648,Drama,2010-Present
Cathy Garcia-Molina,70127628,Drama,2010-Present
Antoinette Jadaone,80050106,Drama,2010-Present
Marcus Raboy,80134779,Drama,2010-Present
Abhinay Deo,80159955,Drama,2010-Present
John Asher,80013282,Drama,2010-Present
Jesse Peretz,70167133,Drama,2010-Present
Michael Blieden,70039645,Drama,2010-Present
Sherwin Shilati,80214583,Drama,2010-Present
Mark Columbus,80213299,Drama,2010-Present
Dejan Zečević,80214579,Drama,2010-Present
Pascale Lamche,80170119,Drama,2010-Present
Lô Politi,80119235,Drama,2010-Present
Yuen Wo-Ping,80039717,Drama,2010-Present
Joshua Oppenheimer,80016401,Drama,2010-Present
Jeremy Saulnier,70278931,Drama,2010-Present
Charles Martin Smith,70305955,Drama,2010-Present
Pawan K Shrivastava,81051693,Drama,2010-Present
Paco Plaza,80109295,Drama,2010-Present
Tomas Portella,80071048,Drama,2010-Present
Kazuchika Kise,80002073,Drama,2010-Present
Kazuchika Kise,80021983,Drama,2010-Present
Kazuchika Kise,80002074,Drama,2010-Present
Macon Blair,80100937,Drama,2010-Present
Mitch Schauer,80023667,Drama,2010-Present
Mar Targarona,80191608,Drama,2010-Present
Duncan Jones,80119233,Drama,2010-Present
Steven Gomez,80100261,Drama,2010-Present
Robert Cannan,80097376,Drama,2010-Present
Ryan Polito,80992973,Drama,2010-Present
Aruna Raje,81026327,Drama,2010-Present
Alex Lehmann,80224060,Drama,2010-Present
Elisabeth Vogler,81027190,Drama,2010-Present
Parambrata Chatterjee,81071868,Drama,2010-Present
Brian A. Miller,80013712,Drama,2010-Present
Errol Morris,70292939,Drama,2010-Present
Adam Smith,80057509,Drama,2010-Present
Ken Burns,70202577,Drama,2010-Present
Ken Burns,80013283,Drama,2010-Present
Benjamin Ree,80118004,Drama,2010-Present
Susannah Ward,80003151,Drama,2010-Present
Sam Taplin,80003152,Drama,2010-Present
Kasia Uscinska,80012477,Drama,2010-Present
Vicky Matthews,80003153,Drama,2010-Present
Vicky Matthews,70296573,Drama,2010-Present
Woo Min-ho,80236133,Drama,2010-Present
Femi Oyeniran,81069254,Drama,2010-Present
Hang-Jun Jang,80223050,Drama,2010-Present
Steven Spielberg,70251896,Drama,2010-Present
Kurt Voelker,80198735,Drama,2010-Present
David Paul Meyer,80134969,Drama,2010-Present
Constance Marks,70166234,Drama,2010-Present
Paul Miller,60031404,Drama,2010-Present
Michael Del Monte,81031652,Drama,2010-Present
Andreas Johnsen,80108610,Drama,2010-Present
Nora Twomey,80217121,Drama,2010-Present
Rakeysh Omprakash Mehra,80117596,Drama,2010-Present
Chris Blake,81060040,Drama,2010-Present
Johnny Kevorkian,81005266,Drama,2010-Present
Amshan Kumar,81063743,Drama,2010-Present
David L.G. Hughes,80219974,Drama,2010-Present
Michael McKay,80217826,Drama,2010-Present
Ildiko Enyedi,80177414,Drama,2010-Present
You-Jeong Chang,80226233,Drama,2010-Present
Richard Bates Jr.,80098490,Drama,2010-Present
Steve McLean,81024494,Drama,2010-Present
Robert Rodriguez,70176656,Drama,2010-Present
Gregory Caruso,80223123,Drama,2010-Present
Benjamin Arfmann,80214581,Drama,2010-Present
Fumihiko Sori,80223731,Drama,2010-Present
Shin-yeon Won,80211728,Drama,2010-Present
Mar Targarona,80121386,Drama,2010-Present
Keith Scholey,80158772,Drama,2010-Present
Juan Pablo Buscarini,80152627,Drama,2010-Present
Keiichi Sato,80149259,Drama,2010-Present
Chad Van De Keere,70307570,Drama,2010-Present
Chad Van De Keere,80081337,Drama,2010-Present
Suseenthiran,81057246,Drama,2010-Present
Lucky McKee,80209153,Drama,2010-Present
Cecilia Peck,80222025,Drama,2010-Present
Sanjeev Gupta,80161850,Drama,2010-Present
Paul Tanter,80107808,Drama,2010-Present
Nishikant Kamat,80123910,Drama,2010-Present
Nishikant Kamat,80103428,Drama,2010-Present
Ribhu Dasgupta,80113673,Drama,2010-Present
Kevin MacDonald,80013271,Drama,2010-Present
Matt Tyrnauer,81004511,Drama,2010-Present
Stephan Rick,80989337,Drama,2010-Present
Mariano Baez,80191555,Drama,2010-Present
Stephanie Laing,80184625,Drama,2010-Present
Gus Van Sant,70100084,Drama,2010-Present
Logan Kibens,80106438,Drama,2010-Present
Leo Riley,70295085,Drama,2010-Present
Vincent Perez,80159877,Drama,2010-Present
Ozan Açıktan,81043345,Drama,2010-Present
Carlos Marques-Marcet,80208091,Drama,2010-Present
Prasanth Varma,81052266,Drama,2010-Present
Gangadhar Salimath,81067757,Drama,2010-Present
Daniel J. Clark,81015076,Drama,2010-Present
Marcelo Galvão,80095232,Drama,2010-Present
Shanawaz Nellikunnil,81067758,Drama,2010-Present
Sudhir Mishra,70002291,Drama,2010-Present
Danny J. Boyle,81050193,Drama,2010-Present
Rajat Kapoor,81067759,Drama,2010-Present
Lars Kaalund,80045203,Drama,2010-Present
Bedran Güzel,81043346,Drama,2010-Present
Hari Nath,81045069,Drama,2010-Present
Josh Webber,80216820,Drama,2010-Present
Adam Collins,81026667,Drama,2010-Present
Saket Chaudhary,70056686,Drama,2010-Present
Tanuja Chandra,81067761,Drama,2010-Present
Jackie van Beek,80992672,Drama,2010-Present
Blair Hayes,81050194,Drama,2010-Present
Sachin Kamlakar Khot,70109378,Drama,2010-Present
Tolga Örnek,81043343,Drama,2010-Present
Daniel Monzón,80988834,Drama,2010-Present
Sung-soo Kim,80144372,Drama,2010-Present
Chandrakant Kanse,80201612,Drama,2010-Present
Sanjay Jadhav,80202087,Drama,2010-Present
Sudesh Manjrekar,80201816,Drama,2010-Present
Avadhoot Gupte,80201605,Drama,2010-Present
Satish Rajwade,80201609,Drama,2010-Present
Sanjay Soorkar,70116577,Drama,2010-Present
Gajendra Ahire,70121660,Drama,2010-Present
Michael J. Bassett,70120167,Drama,2010-Present
Chandrakant Kulkarni,80201622,Drama,2010-Present
Avadhoot Gupte,80201817,Drama,2010-Present
Thomas Stuber,80082749,Drama,2010-Present
Christopher Chambers,80065214,Drama,2010-Present
Giulio Base,80152155,Drama,2010-Present
Sam Dunn,70137744,Drama,2010-Present
Raúl Arévalo,80167461,Drama,2010-Present
Matías Bize,80157565,Drama,2010-Present
Alex Holmes,80007215,Drama,2010-Present
Tanuj Chopra,81071972,Drama,2010-Present
Jon M. Chu,80244853,Drama,2010-Present
Bo Burnham,80167498,Drama,2010-Present
Anand Tiwari,80227304,Drama,2010-Present
Michael Paul Stephenson,80081987,Drama,2010-Present
Colin Dench,80134968,Drama,2010-Present
Jesús Magaña Vázquez,80134887,Drama,2010-Present
Corey Grant,80046696,Drama,2010-Present
Gareth Evans,70118368,Drama,2010-Present
Shaul Schwarz,80168084,Drama,2010-Present
Rayka Zehtabchi,81074663,Drama,2010-Present
Jevons Au,81012294,Drama,2010-Present
Olivier Assayas,80013293,Drama,2010-Present
Jeremiah Zagar,80241304,Drama,2010-Present
Afonso Poyart,80147513,Drama,2010-Present
Ricky Gervais,80103818,Drama,2010-Present
Joachim Fest,80106791,Drama,2010-Present
Joe Berlinger,80174429,Drama,2010-Present
Adam Davis,81037273,Drama,2010-Present
Chris Weitz,60022998,Drama,2010-Present
Stephen Daldry,60003378,Drama,2010-Present
Brad Peyton,70132722,Drama,2010-Present
Hsu Chih-yen,81045891,Drama,2010-Present
Emma Hatherley,81059656,Drama,2010-Present
Meghna Gulzar,80080618,Drama,2010-Present
Eddie Martin,80994282,Drama,2010-Present
Kelly Noonan,80220013,Drama,2010-Present
Rick Morales,80065492,Drama,2010-Present
Andrew Tan,81050118,Drama,2010-Present
Michael D. Black,81048914,Drama,2010-Present
Michael Winnick,80220228,Drama,2010-Present
James McTeigue,70101697,Drama,2010-Present
Olivier Assayas,80106984,Drama,2010-Present
Kelly Fremon Craig,80104316,Drama,2010-Present
Kyle Rankin,80208661,Drama,2010-Present
Pramod Pawar,81063480,Drama,2010-Present
Dan Gilroy,80199689,Drama,2010-Present
Rebecca Harrison,81063084,Drama,2010-Present
Milla Harrison-Hansley,81059649,Drama,2010-Present
Storm Theunissen,81059812,Drama,2010-Present
Jack C. Newell,80205451,Drama,2010-Present
Karyn Kusama,70045919,Drama,2010-Present
Fisher Stevens,80141928,Drama,2010-Present
Neil Triffett,80198055,Drama,2010-Present
Tom O'Dell,80195654,Drama,2010-Present
John Trengove,80170992,Drama,2010-Present
Ui-seok Jo,80163352,Drama,2010-Present
Michael Mayer,70251218,Drama,2010-Present
Greg MacGillivray,80217040,Drama,2010-Present
Drake Doremus,80172958,Drama,2010-Present
Amber Tamblyn,80171291,Drama,2010-Present
Jani Lachauer,80234290,Drama,2010-Present
Marina Zenovich,80168231,Drama,2010-Present
Carlos Bolado,80005332,Drama,2010-Present
Gurvinder Singh,80060060,Drama,2010-Present
Rohit Shetty,80091866,Drama,2010-Present
Anjali Nayar,80124947,Drama,2010-Present
Farah Khan,80017528,Drama,2010-Present
Shlok Sharma,80095530,Drama,2010-Present
Joaquín Mazón,80093105,Drama,2010-Present
Scott Hicks,80134682,Drama,2010-Present
Adam Sjöberg,80154179,Drama,2010-Present
John Stewart Muller,80127604,Drama,2010-Present
Leandro Mark,80156767,Drama,2010-Present
Pulkit,80159668,Drama,2010-Present
Jennie Livingston,60036691,Drama,2010-Present
